architecture,layer_dims,hidden_layers,seed,train_accuracy,test_accuracy,final_cost,seconds
logistic regression,784-1,0,1,86.27,84.4,0.3213,105.0
logistic regression,784-1,0,2,86.12,84.5,0.3216,104.0
logistic regression,784-1,0,3,86.1,84.5,0.3215,103.0
logistic regression,784-1,0,4,86.07,84.45,0.3216,103.0
logistic regression,784-1,0,5,86.2,84.7,0.3217,104.0
"1 hidden layer, 7 units",784-7-1,1,1,86.92,84.6,0.3045,145.0
"1 hidden layer, 7 units",784-7-1,1,2,87.16,84.45,0.2961,144.0
"1 hidden layer, 7 units",784-7-1,1,3,86.63,84.3,0.3114,142.0
"1 hidden layer, 7 units",784-7-1,1,4,86.4,84.5,0.3181,137.0
"1 hidden layer, 7 units",784-7-1,1,5,87.08,84.5,0.2997,127.0
"1 hidden layer, 20 units",784-20-1,1,1,86.94,84.7,0.2881,158.0
"1 hidden layer, 20 units",784-20-1,1,2,87.02,84.2,0.2917,160.0
"1 hidden layer, 20 units",784-20-1,1,3,87.69,84.4,0.2818,160.0
"1 hidden layer, 20 units",784-20-1,1,4,87.13,84.85,0.2925,163.0
"1 hidden layer, 20 units",784-20-1,1,5,86.79,84.35,0.2921,162.2
2 hidden layers,784-20-7-1,2,1,87.49,85.0,0.2779,164.9
2 hidden layers,784-20-7-1,2,2,87.97,85.0,0.2709,167.5
2 hidden layers,784-20-7-1,2,3,87.28,84.5,0.281,164.9
2 hidden layers,784-20-7-1,2,4,88.17,84.75,0.2657,167.5
2 hidden layers,784-20-7-1,2,5,87.83,84.75,0.271,164.1
3 hidden layers,784-20-7-5-1,3,1,87.71,84.35,0.2668,167.9
3 hidden layers,784-20-7-5-1,3,2,87.79,84.7,0.2678,164.3
3 hidden layers,784-20-7-5-1,3,3,88.17,85.15,0.265,171.7
3 hidden layers,784-20-7-5-1,3,4,88.1,84.7,0.2667,171.9
3 hidden layers,784-20-7-5-1,3,5,88.91,85.1,0.2455,173.5
4 hidden layers,784-20-20-7-5-1,4,1,87.22,83.9,0.2847,180.2
4 hidden layers,784-20-20-7-5-1,4,2,87.41,84.2,0.2862,201.1
4 hidden layers,784-20-20-7-5-1,4,3,88.58,85.35,0.2561,207.5
4 hidden layers,784-20-20-7-5-1,4,4,87.98,84.45,0.263,219.0
4 hidden layers,784-20-20-7-5-1,4,5,89.35,85.0,0.2452,211.5
